fold,seed,mode,k,repeat,test_loss,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,n_test_pairs,baseline_AUROC,baseline_AUPRC,baseline_R@5,baseline_MRR,baseline_brain_R@5,baseline_brain_MRR,AUROC_drop,AUPRC_drop,R@5_drop,MRR_drop,brain_R@5_drop,brain_MRR_drop
fold_01,11,random,5,8,0.5991317581051427,0.8209352212276767,0.7925688322275778,0.7032201914708442,0.0187119234116623,0.0578764142732811,0.1040034812880765,0.0529428006853881,0.0139251523063533,0.0652741514360313,0.1105308964316797,0.0515855981531074,93.0,0.0195822454308094,0.093124456048738,0.1627502175805047,0.0699353098315838,60.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.0036736830225094774,0.003260842885391524,0.007397737162750197,0.00036330761907669984,0.002610966057441211,0.0011644535250650984
fold_01,11,random,5,9,0.6062448666965162,0.8207410273132651,0.7913188678330594,0.7025674499564839,0.0178416013925152,0.0630983463881636,0.1109660574412532,0.053299630810925,0.0143603133159268,0.0574412532637075,0.1022628372497824,0.048867353196464,93.0,0.0178416013925152,0.088337684943429,0.1553524804177545,0.0681675933376734,59.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.003867876936921033,0.004510807279909934,0.002175805047867699,6.477493539797097e-06,0.007397737162750204,0.0029321700189754996
fold_01,11,random,5,10,0.6050934545157576,0.8116382467518204,0.783784214319902,0.6919060052219321,0.0147954743255004,0.0596170583115752,0.1061792863359443,0.0514059944949075,0.0143603133159268,0.0578764142732811,0.1053089643167972,0.04844851130013,101.5,0.0204525674499564,0.0892080069625761,0.1514360313315927,0.0682709382817043,62.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.01297065749836579,0.012045460793067342,0.0056570931244561,0.001900113809557298,0.00652741514360311,0.0028288250749445992
fold_01,11,random,5,11,0.5835049090642738,0.819215880763611,0.7917257047162684,0.7097476066144474,0.0147954743255004,0.0635335073977371,0.1070496083550913,0.0520621519083133,0.0169712793733681,0.0622280243690165,0.1105308964316797,0.0531686146845414,91.5,0.0200174064403829,0.0913838120104438,0.1575282854656222,0.0695208789457983,59.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.005393023486575221,0.004103970396700962,0.0017406440382942007,0.001243956396151498,0.0043516100957354115,0.0015788844108506062
fold_01,11,random,5,12,0.6785420032560151,0.8125211615504003,0.7794229367127121,0.6607919930374238,0.0169712793733681,0.0670147954743255,0.1096605744125326,0.0543155893864476,0.0117493472584856,0.0478677110530896,0.0857267188859878,0.0425301240156788,119.5,0.0147954743255004,0.0774586597040905,0.1457789382071366,0.0610834294523159,68.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.012087742699785853,0.016406738400257193,-0.0017406440382942007,-0.001009481081982802,0.01827676240208871,0.010016333904333
fold_01,11,random,5,13,0.6229043980595129,0.7922322055505184,0.7673200890108468,0.6849434290687554,0.0191470844212358,0.0652741514360313,0.1040034812880765,0.0525091422048678,0.0187119234116623,0.0591818973020017,0.1013925152306353,0.0516184524116574,112.0,0.0248041775456919,0.088337684943429,0.1414273281114012,0.0703909619016099,67.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.03237669869966775,0.02850958610212251,0.0,0.0007969660995970004,0.007397737162750204,0.0007088014550390015
fold_01,11,random,5,14,0.5738228068754297,0.8208515218515968,0.7908242157012766,0.7180156657963447,0.0147954743255004,0.0622280243690165,0.108355091383812,0.0522151558770175,0.0174064403829416,0.0665796344647519,0.1122715404699739,0.0548801174265176,89.0,0.0204525674499564,0.0935596170583115,0.1579634464751958,0.0709414919214466,59.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.0037573823985893595,0.005005459411692725,0.003046127067014799,0.001090952427447299,0.002175805047867699,0.00015827143520230624
fold_01,11,random,5,15,0.5916325925639445,0.8168937911727078,0.7898008976968467,0.7043080939947781,0.0156657963446475,0.0609225413402959,0.1109660574412532,0.0524523453180092,0.0147954743255004,0.0604873803307223,0.1079199303742384,0.0504525581007125,97.0,0.0213228894691035,0.0887728459530026,0.1527415143603133,0.06786085387513,62.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.007715113077478408,0.0060287774161226215,0.004351610095735398,0.0008537629864555987,0.006962576153176608,0.0032389094815189062
fold_01,11,random,5,16,0.5771953822012255,0.8199412437954524,0.7907143584846983,0.7154046997389034,0.0152306353350739,0.0613577023498694,0.1061792863359443,0.0521222234461423,0.0156657963446475,0.0639686684073107,0.1122715404699739,0.0524616478619071,93.0,0.0178416013925152,0.0944299390774586,0.1553524804177545,0.0687775525006631,61.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.0046676604547337686,0.005115316628271027,0.0039164490861618995,0.0011838848583224995,0.0013054830287206054,0.0023222108559858012
fold_01,11,random,5,17,0.6243161298691241,0.8016517939313786,0.7730667183323583,0.6897302001740644,0.0178416013925152,0.0661444734551784,0.1018276762402088,0.05268035442785,0.0178416013925152,0.0630983463881636,0.1070496083550913,0.052508942463241,107.0,0.0230635335073977,0.0944299390774586,0.1527415143603133,0.0721409445728315,66.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.02295711031880754,0.02276295678061102,-0.0008703220191471073,0.0006257538766148013,0.0013054830287206054,-0.0010411812161826017
