checkpoint_a,checkpoint_b,pearson_corr,spearman_corr
fold_02_seed11,fold_04_seed11,0.980624185887263,0.9671409611407759
fold_02_seed11,fold_04_seed22,0.9715377709887432,0.9647869790219863
fold_02_seed11,fold_04_seed33,0.9781199916687278,0.9627375330514316
fold_02_seed11,fold_05_seed11,0.9840143579116883,0.9723509984876075
fold_02_seed11,fold_05_seed22,0.979710578301693,0.9612518904904472
fold_02_seed11,fold_05_seed33,0.9793427325087543,0.9598362089364897
fold_02_seed11,fold_06_seed11,0.9746796493955975,0.9560480261736471
fold_02_seed11,fold_06_seed22,0.9606799636067369,0.9369939401421855
fold_02_seed11,fold_06_seed33,0.9726663404578088,0.9527824932868297
fold_02_seed11,fold_07_seed11,0.9840909552500322,0.9797071926088253
fold_02_seed11,fold_07_seed22,0.9811373141300334,0.9714703128697387
fold_02_seed11,fold_07_seed33,0.9856634031974041,0.9782606459047091
fold_02_seed11,fold_08_seed11,0.9811310923681004,0.9673446711318251
fold_02_seed11,fold_08_seed22,0.9771005782794426,0.9530150107513606
fold_02_seed11,fold_08_seed33,0.9646853387400562,0.919651841106207
fold_02_seed22,fold_02_seed33,0.9891172234243961,0.9927878432461906
fold_02_seed22,fold_03_seed11,0.9841913582070898,0.9686039692583104
fold_02_seed22,fold_03_seed22,0.984449187748227,0.9683735094704569
fold_02_seed22,fold_03_seed33,0.9793878143812268,0.9613012747307015
fold_02_seed22,fold_04_seed11,0.9808988367881967,0.961632560675741
fold_02_seed22,fold_04_seed22,0.976504029792819,0.9628342438552631
fold_02_seed22,fold_04_seed33,0.9765132207227006,0.9529388767143019
fold_02_seed22,fold_05_seed11,0.9808161984965699,0.9679804932250995
fold_02_seed22,fold_05_seed22,0.9807552272914091,0.9662664485529388
fold_02_seed22,fold_05_seed33,0.9754805130252866,0.9536343714312171
fold_02_seed22,fold_06_seed11,0.9758430536704064,0.9542763665545233
fold_02_seed22,fold_06_seed22,0.9632782307542898,0.9381791619082892
fold_02_seed22,fold_06_seed33,0.9721167763828368,0.9459901025751822
fold_02_seed22,fold_07_seed11,0.9842407952025134,0.9765486589092256
fold_02_seed22,fold_07_seed22,0.9856720553446598,0.9776145354280481
fold_02_seed22,fold_07_seed33,0.9843787374789451,0.9727008035227425
fold_02_seed22,fold_08_seed11,0.9799775032725861,0.9645565192341328
fold_02_seed22,fold_08_seed22,0.9774041392998316,0.9558998734528843
fold_02_seed22,fold_08_seed33,0.9598132461925987,0.9062954617940883
fold_02_seed33,fold_03_seed11,0.9780549305082344,0.9701863226231261
fold_02_seed33,fold_03_seed22,0.9680388009821554,0.9548566313775116
fold_02_seed33,fold_03_seed33,0.984820907537401,0.9648775167957857
fold_02_seed33,fold_04_seed11,0.975852211769449,0.9633095671677109
fold_02_seed33,fold_04_seed22,0.9660145732988262,0.9608218360648991
fold_02_seed33,fold_04_seed33,0.9767948664023413,0.9603403397224194
fold_02_seed33,fold_05_seed11,0.9835821586860123,0.9685278352212516
fold_02_seed33,fold_05_seed22,0.9804049580630799,0.9561179871806743
fold_02_seed33,fold_05_seed33,0.9704383546641837,0.9546220562363036
fold_02_seed33,fold_06_seed11,0.9699341093634302,0.9521425558402007
fold_02_seed33,fold_06_seed22,0.9453441409135739,0.9298208792452443
fold_02_seed33,fold_06_seed33,0.9680323803703342,0.9497824006913794
fold_02_seed33,fold_07_seed11,0.9828536103727196,0.9776598043149479
fold_02_seed33,fold_07_seed22,0.9728653564950139,0.9671286150807121
fold_02_seed33,fold_07_seed33,0.9830219548905575,0.9766844655699249
fold_02_seed33,fold_08_seed11,0.9804584224112672,0.9634824120086011
fold_02_seed33,fold_08_seed22,0.9675129865540983,0.9459345453048961
fold_02_seed33,fold_08_seed33,0.9554858065663641,0.9154480076545572
fold_03_seed11,fold_03_seed22,0.9936731281009528,0.9826784777307941
fold_03_seed11,fold_03_seed33,0.9873773102051889,0.9788203339609246
