fold,subject,nsdId,repeat_1,repeat_2,raw_cosine_same_image
fold_01,1,8843,3,3,0.9393245577812195
fold_01,1,8933,1,1,0.948132336139679
fold_01,1,8933,2,2,0.9057506322860718
fold_01,1,8933,3,3,0.922858715057373
fold_01,1,9027,1,1,0.9457389116287231
fold_01,1,9027,2,2,0.9125138521194458
fold_01,1,9027,3,3,0.925367534160614
fold_01,1,9048,1,1,0.9363457560539246
fold_01,1,9048,2,2,0.9278352856636047
fold_01,1,9048,3,3,0.9369004964828491
fold_01,1,9147,1,1,0.9202733635902405
fold_01,1,9147,2,2,0.9214582443237305
fold_01,1,9147,3,3,0.9254457354545593
fold_01,1,9230,1,1,0.9308574795722961
fold_01,1,9230,2,2,0.9184046983718872
fold_01,1,9230,3,3,0.8764051198959351
fold_01,1,9434,1,1,0.9562925100326538
fold_01,1,9434,2,2,0.925072431564331
fold_01,1,9434,3,3,0.9282843470573425
fold_01,1,9722,1,1,0.9331819415092468
fold_01,1,9722,2,2,0.9050999879837036
fold_01,1,9722,3,3,0.9193333983421326
fold_01,1,9847,1,1,0.9031785130500793
fold_01,1,9847,2,2,0.9071415662765503
fold_01,1,9847,3,3,0.9310483932495117
fold_01,1,9865,1,1,0.9306914210319519
fold_01,1,9865,2,2,0.9389904737472534
fold_01,1,9865,3,3,0.9298257827758789
fold_01,1,9917,1,1,0.9244868159294128
fold_01,1,9917,2,2,0.9438664317131042
fold_01,1,9917,3,3,0.855973482131958
fold_01,1,10006,1,1,0.9205708503723145
fold_01,1,10006,2,2,0.9401656985282898
fold_01,1,10006,3,3,0.9346649050712585
fold_01,1,10046,1,1,0.9407362341880798
fold_01,1,10046,2,2,0.8934557437896729
fold_01,1,10046,3,3,0.9230307936668396
fold_01,1,10064,1,1,0.948260486125946
fold_01,1,10064,2,2,0.9283883571624756
fold_01,1,10064,3,3,0.9226033687591553
fold_01,1,10105,1,1,0.9092807173728943
fold_01,1,10105,2,2,0.9263099431991577
fold_01,1,10105,3,3,0.9110320210456848
fold_01,1,10107,1,1,0.9130493998527527
fold_01,1,10107,2,2,0.9326627850532532
fold_01,1,10107,3,3,0.9519532918930054
fold_01,1,10244,1,1,0.8808718919754028
fold_01,1,10244,2,2,0.9379860758781433
fold_01,1,10244,3,3,0.9404391050338745
fold_01,1,10471,1,1,0.9052445888519287
fold_01,1,10471,2,2,0.9427211284637451
fold_01,1,10471,3,3,0.9384710192680359
fold_01,1,10507,1,1,0.9326536655426025
fold_01,1,10507,2,2,0.8981074094772339
fold_01,1,10507,3,3,0.9227555394172668
fold_01,1,10610,1,1,0.941278874874115
fold_01,1,10610,2,2,0.912523090839386
fold_01,1,10610,3,3,0.9093684554100037
fold_01,1,11159,1,1,0.9440762400627136
fold_01,1,11159,2,2,0.9470719695091248
fold_01,1,11159,3,3,0.9060999751091003
fold_01,1,11333,1,1,0.9279956221580505
fold_01,1,11333,2,2,0.9402085542678833
fold_01,1,11333,3,3,0.9332672357559204
fold_01,1,11487,1,1,0.882170557975769
fold_01,1,11487,2,2,0.9065266251564026
fold_01,1,11487,3,3,0.9277846813201904
fold_01,1,11521,1,1,0.924566388130188
fold_01,1,11521,2,2,0.9372702836990356
fold_01,1,11521,3,3,0.942757248878479
fold_01,1,11617,1,1,0.936482846736908
fold_01,1,11617,2,2,0.940658688545227
fold_01,1,11617,3,3,0.9327629804611206
fold_01,1,11635,1,1,0.9424137473106384
fold_01,1,11635,2,2,0.9204699397087097
fold_01,1,11635,3,3,0.944022536277771
fold_01,1,11689,1,1,0.9226822853088379
fold_01,1,11689,2,2,0.9135047793388367
fold_01,1,11689,3,3,0.9263103604316711
fold_01,1,11725,1,1,0.9387412071228027
fold_01,1,11725,2,2,0.9458414912223816
fold_01,1,11725,3,3,0.9367378950119019
fold_01,1,11796,1,1,0.9280509948730469
fold_01,1,11796,2,2,0.9529789090156555
fold_01,1,11796,3,3,0.9075130820274353
fold_01,1,11837,1,1,0.9203623533248901
fold_01,1,11837,2,2,0.9515976905822754
fold_01,1,11837,3,3,0.9288926720619202
fold_01,1,11844,1,1,0.9284567832946777
fold_01,1,11844,2,2,0.9251227974891663
fold_01,1,11844,3,3,0.9344697594642639
fold_01,1,11932,1,1,0.9467373490333557
fold_01,1,11932,2,2,0.9380085468292236
fold_01,1,11932,3,3,0.9292637705802917
fold_01,1,11942,1,1,0.942558228969574
fold_01,1,11942,2,2,0.9186765551567078
